id;nom;poids;date_arrivee
101;Zorro;6.5;2023-01-15
102;Roxy;5.8;2023-02-10
103;Filou;7.2;2023-03-05
104;Kira;4.9;2024-11-20
105;Rouky;6.1;2023-05-12
106;Vixen;5.5;2023-06-01
107;Goupil;7.8;2023-07-18
108;Pipo;5.3;2023-08-22
109;Vulpec;6.9;2023-09-09
110;Foxy;4.5;2023-10-25
111;Renardeau;3.2;2024-04-01
112;Rubis;7.0;2024-03-10
113;Sacha;6.3;2024-02-05
114;Pacha;5.7;2024-01-28
115;Delta;6.6;2023-11-03
116;Écho;5.1;2023-12-19
117;Tango;7.1;2024-05-15
118;Oscar;5.9;2024-06-11
119;Lima;6.8;2024-07-07
120;Mia;4.7;2024-08-29
121;Léo;6.4;2024-09-17
122;Nina;5.6;2024-10-14
123;Max;7.3;2024-05-25
124;Bella;4.8;2024-04-18
125;Toby;6.2;2024-03-29
126;Sparky;5.0;2024-02-14
127;Shadow;7.4;2024-01-01
128;Pip;4.6;2023-11-29
129;Ziggy;6.7;2023-10-10
130;Loup;5.2;2023-09-01