type,catégorie,montant,mois
dépense,autres_charges,269.87,1
dépense,autres_charges,165.32,1
dépense,autres_charges,320.95,1
dépense,autres_charges,259.87,1
dépense,autres_charges,100.52,1
dépense,autres_charges,322.11,1
dépense,autres_charges,116.54,1
dépense,autres_charges,100.21,1
dépense,autres_charges,293.05,1
dépense,autres_charges,255.05,1
dépense,autres_charges,216.2,1
dépense,autres_charges,143.23,1
dépense,autres_charges,191.39,1
dépense,autres_charges,181.38,1
dépense,autres_charges,254.0,1
dépense,autres_charges,174.68,1
dépense,autres_charges,160.82,1
dépense,autres_charges,267.82,1
dépense,autres_charges,197.31,1
dépense,autres_charges,139.49,1
dépense,autres_charges,161.99,1
dépense,autres_charges,117.89,1
dépense,autres_charges,333.7,1
dépense,autres_charges,175.06,1
dépense,autres_charges,255.24,1
dépense,autres_charges,230.02,1
dépense,autres_charges,270.95,1
dépense,autres_charges,274.61,1
dépense,déplacements,833.23,1
dépense,déplacements,826.61,1
dépense,déplacements,833.73,1
dépense,déplacements,950.67,1
dépense,déplacements,434.65,1
dépense,déplacements,599.13,1
dépense,déplacements,368.27,1
dépense,déplacements,1079.4,1
dépense,déplacements,1238.19,1
dépense,déplacements,200.4,1
dépense,déplacements,1059.21,1
dépense,déplacements,667.3,1
dépense,fonctionnement,57.07,1
dépense,fonctionnement,454.82,1
dépense,fonctionnement,446.94,1
dépense,fonctionnement,369.22,1
dépense,fonctionnement,305.47,1
dépense,fonctionnement,300.39,1
dépense,fonctionnement,95.05,1
dépense,fonctionnement,134.81,1
dépense,fonctionnement,37.17,1
dépense,fonctionnement,510.19,1
dépense,fonctionnement,88.59,1
dépense,fonctionnement,166.08,1
dépense,fonctionnement,74.38,1
dépense,fonctionnement,227.28,1
dépense,fonctionnement,501.34,1
dépense,fonctionnement,131.06,1
dépense,fonctionnement,559.29,1
dépense,fonctionnement,532.64,1
dépense,fonctionnement,257.45,1
dépense,fonctionnement,543.58,1
dépense,fonctionnement,10.48,1
dépense,fonctionnement,313.69,1
dépense,fonctionnement,490.94,1
dépense,fonctionnement,123.44,1
dépense,fonctionnement,269.74,1
dépense,fonctionnement,180.56,1
dépense,fonctionnement,523.06,1
dépense,fonctionnement,253.51,1
dépense,fonctionnement,455.99,1
dépense,fonctionnement,109.83,1
dépense,salaires,2383.57,1
dépense,salaires,1818.89,1
dépense,salaires,2131.9,1
dépense,salaires,2122.23,1
dépense,salaires,1978.38,1
dépense,salaires,2396.45,1
dépense,salaires,1953.41,1
dépense,salaires,1907.45,1
dépense,salaires,1650.57,1
dépense,salaires,2396.04,1
dépense,salaires,2077.8,1
dépense,salaires,1985.67,1
dépense,salaires,1758.5,1
dépense,salaires,2203.37,1
dépense,salaires,1790.61,1
dépense,salaires,1704.65,1
dépense,salaires,1500.2,1
dépense,salaires,2369.92,1
dépense,salaires,1916.7,1
dépense,salaires,1953.92,1
recette,billetterie,80.0,1
recette,billetterie,40.0,1
recette,billetterie,290.0,1
recette,billetterie,30.0,1
recette,billetterie,330.0,1
recette,billetterie,40.0,1
recette,billetterie,300.0,1
recette,billetterie,280.0,1
recette,billetterie,370.0,1
recette,billetterie,320.0,1
recette,billetterie,240.0,1
recette,billetterie,350.0,1
recette,billetterie,260.0,1
recette,billetterie,210.0,1
recette,billetterie,60.0,1
recette,billetterie,300.0,1
recette,billetterie,130.0,1
recette,billetterie,160.0,1
recette,billetterie,90.0,1
recette,billetterie,230.0,1
recette,billetterie,350.0,1
recette,billetterie,290.0,1
recette,billetterie,380.0,1
recette,billetterie,270.0,1
recette,billetterie,310.0,1
recette,billetterie,340.0,1
recette,billetterie,110.0,1
recette,billetterie,380.0,1
recette,billetterie,80.0,1
recette,billetterie,190.0,1
recette,billetterie,100.0,1
recette,billetterie,300.0,1
recette,billetterie,80.0,1
recette,billetterie,200.0,1
recette,billetterie,220.0,1
recette,marketing,530.42,1
recette,marketing,100.98,1
recette,marketing,470.56,1
recette,marketing,417.01,1
recette,marketing,175.8,1
recette,marketing,671.33,1
recette,marketing,371.18,1
recette,marketing,100.68,1
recette,marketing,461.93,1
recette,marketing,445.95,1
recette,marketing,506.85,1
recette,marketing,572.5,1
recette,marketing,280.97,1
recette,marketing,301.75,1
recette,marketing,100.54,1
recette,marketing,429.13,1
recette,marketing,330.23,1
recette,marketing,100.04,1
recette,marketing,431.65,1
recette,sponsoring,1900.0,1
recette,sponsoring,2300.0,1
recette,sponsoring,400.0,1
recette,sponsoring,1300.0,1
recette,sponsoring,500.0,1
recette,sponsoring,900.0,1
recette,sponsoring,2300.0,1
recette,sponsoring,500.0,1
recette,sponsoring,1200.0,1
recette,sponsoring,800.0,1
recette,sponsoring,1000.0,1
recette,sponsoring,1400.0,1
recette,subventions,56500.0,1
dépense,autres_charges,126.1,2
dépense,autres_charges,100.17,2
dépense,autres_charges,117.17,2
dépense,autres_charges,219.58,2
dépense,autres_charges,289.28,2
dépense,autres_charges,346.46,2
dépense,autres_charges,148.86,2
dépense,autres_charges,100.12,2
dépense,autres_charges,326.09,2
dépense,autres_charges,151.84,2
dépense,autres_charges,131.89,2
dépense,autres_charges,310.14,2
dépense,autres_charges,100.21,2
dépense,autres_charges,281.53,2
dépense,autres_charges,284.27,2
dépense,autres_charges,228.68,2
dépense,autres_charges,173.42,2
dépense,autres_charges,100.85,2
dépense,autres_charges,271.92,2
dépense,autres_charges,319.52,2
dépense,autres_charges,101.54,2
dépense,autres_charges,322.59,2
dépense,autres_charges,131.92,2
dépense,autres_charges,122.91,2
dépense,autres_charges,279.51,2
dépense,autres_charges,137.05,2
dépense,autres_charges,226.42,2
dépense,autres_charges,259.97,2
dépense,autres_charges,200.75,2
dépense,autres_charges,132.5,2
dépense,autres_charges,140.4,2
dépense,autres_charges,144.09,2
dépense,autres_charges,280.83,2
dépense,autres_charges,146.45,2
dépense,autres_charges,100.09,2
dépense,déplacements,1149.74,2
dépense,déplacements,1186.12,2
dépense,déplacements,1245.78,2
dépense,déplacements,1041.87,2
dépense,déplacements,214.47,2
dépense,déplacements,200.72,2
dépense,déplacements,718.12,2
dépense,déplacements,409.4,2
dépense,déplacements,971.79,2
dépense,déplacements,1141.34,2
dépense,déplacements,792.76,2
dépense,déplacements,200.57,2
dépense,fonctionnement,417.24,2
dépense,fonctionnement,581.36,2
dépense,fonctionnement,573.67,2
dépense,fonctionnement,228.89,2
dépense,fonctionnement,185.31,2
dépense,fonctionnement,581.78,2
dépense,fonctionnement,520.58,2
dépense,fonctionnement,44.09,2
dépense,fonctionnement,73.94,2
dépense,fonctionnement,168.83,2
dépense,fonctionnement,323.15,2
dépense,fonctionnement,190.04,2
dépense,fonctionnement,13.57,2
dépense,fonctionnement,86.67,2
dépense,fonctionnement,340.88,2
dépense,fonctionnement,197.08,2
dépense,fonctionnement,42.87,2
dépense,fonctionnement,422.19,2
dépense,fonctionnement,85.49,2
dépense,fonctionnement,563.12,2
dépense,fonctionnement,348.09,2
dépense,fonctionnement,381.49,2
dépense,fonctionnement,288.18,2
dépense,fonctionnement,428.53,2
dépense,fonctionnement,18.33,2
dépense,fonctionnement,277.46,2
dépense,fonctionnement,329.38,2
dépense,fonctionnement,260.25,2
dépense,fonctionnement,417.58,2
dépense,fonctionnement,108.27,2
dépense,fonctionnement,542.58,2
dépense,fonctionnement,425.0,2
dépense,fonctionnement,304.07,2
dépense,fonctionnement,254.91,2
dépense,fonctionnement,230.52,2
dépense,fonctionnement,183.5,2
dépense,fonctionnement,459.51,2
dépense,salaires,2383.57,2
dépense,salaires,1818.89,2
dépense,salaires,2131.9,2
dépense,salaires,2122.23,2
dépense,salaires,1978.38,2
dépense,salaires,2396.45,2
dépense,salaires,1953.41,2
dépense,salaires,1907.45,2
dépense,salaires,1650.57,2
dépense,salaires,2396.04,2
dépense,salaires,2077.8,2
dépense,salaires,1985.67,2
dépense,salaires,1758.5,2
dépense,salaires,2203.37,2
dépense,salaires,1790.61,2
dépense,salaires,1704.65,2
dépense,salaires,1500.2,2
dépense,salaires,2369.92,2
dépense,salaires,1916.7,2
dépense,salaires,1953.92,2
recette,billetterie,350.0,2
recette,billetterie,180.0,2
recette,billetterie,240.0,2
recette,billetterie,100.0,2
recette,billetterie,300.0,2
recette,billetterie,40.0,2
recette,billetterie,160.0,2
recette,billetterie,210.0,2
recette,billetterie,150.0,2
recette,billetterie,240.0,2
recette,billetterie,180.0,2
recette,billetterie,280.0,2
recette,billetterie,390.0,2
recette,billetterie,230.0,2
recette,billetterie,220.0,2
recette,billetterie,290.0,2
recette,billetterie,180.0,2
recette,billetterie,330.0,2
recette,billetterie,350.0,2
recette,billetterie,220.0,2
recette,billetterie,390.0,2
recette,billetterie,270.0,2
recette,billetterie,160.0,2
recette,billetterie,370.0,2
recette,billetterie,50.0,2
recette,billetterie,350.0,2
recette,billetterie,50.0,2
recette,billetterie,310.0,2
recette,billetterie,100.0,2
recette,billetterie,50.0,2
recette,billetterie,120.0,2
recette,marketing,170.71,2
recette,marketing,216.27,2
recette,marketing,509.75,2
recette,marketing,122.03,2
recette,marketing,218.41,2
recette,marketing,716.55,2
recette,marketing,474.47,2
recette,marketing,477.38,2
recette,marketing,136.79,2
recette,marketing,416.43,2
recette,marketing,325.9,2
recette,marketing,351.74,2
recette,marketing,150.32,2
recette,marketing,126.99,2
recette,sponsoring,700.0,2
recette,sponsoring,700.0,2
recette,sponsoring,1200.0,2
recette,sponsoring,1500.0,2
recette,sponsoring,2000.0,2
recette,sponsoring,500.0,2
recette,sponsoring,1400.0,2
recette,sponsoring,400.0,2
recette,sponsoring,2400.0,2
recette,sponsoring,1000.0,2
recette,sponsoring,1900.0,2
recette,sponsoring,300.0,2
recette,sponsoring,700.0,2
dépense,autres_charges,209.2,3
dépense,autres_charges,181.03,3
dépense,autres_charges,266.31,3
dépense,autres_charges,127.23,3
dépense,autres_charges,101.33,3
dépense,autres_charges,233.19,3
dépense,autres_charges,179.28,3
dépense,autres_charges,100.83,3
dépense,autres_charges,100.14,3
dépense,autres_charges,325.61,3
dépense,autres_charges,184.34,3
dépense,autres_charges,100.12,3
dépense,autres_charges,204.79,3
dépense,autres_charges,235.2,3
dépense,autres_charges,339.11,3
dépense,autres_charges,237.45,3
dépense,autres_charges,315.44,3
dépense,autres_charges,100.03,3
dépense,autres_charges,318.97,3
dépense,autres_charges,100.9,3
dépense,autres_charges,100.54,3
dépense,autres_charges,219.28,3
dépense,autres_charges,321.55,3
dépense,autres_charges,119.95,3
dépense,autres_charges,319.88,3
dépense,autres_charges,283.46,3
dépense,autres_charges,323.38,3
dépense,autres_charges,100.9,3
dépense,autres_charges,209.83,3
dépense,autres_charges,114.02,3
dépense,autres_charges,313.33,3
dépense,déplacements,200.17,3
dépense,déplacements,714.1,3
dépense,déplacements,723.93,3
dépense,déplacements,594.67,3
dépense,déplacements,200.64,3
dépense,déplacements,200.56,3
dépense,déplacements,806.49,3
dépense,déplacements,459.31,3
dépense,déplacements,742.85,3
dépense,déplacements,322.63,3
dépense,déplacements,382.31,3
dépense,déplacements,674.7,3
dépense,déplacements,1121.47,3
dépense,déplacements,1061.25,3
dépense,déplacements,1099.07,3
dépense,déplacements,404.17,3
dépense,déplacements,330.3,3
dépense,déplacements,1138.62,3
dépense,déplacements,629.29,3
dépense,déplacements,983.83,3
dépense,fonctionnement,90.53,3
dépense,fonctionnement,340.23,3
dépense,fonctionnement,487.28,3
dépense,fonctionnement,315.74,3
dépense,fonctionnement,254.22,3
dépense,fonctionnement,575.87,3
dépense,fonctionnement,191.71,3
dépense,fonctionnement,54.13,3
dépense,fonctionnement,318.82,3
dépense,fonctionnement,521.8,3
dépense,fonctionnement,295.55,3
dépense,fonctionnement,44.47,3
dépense,fonctionnement,443.97,3
dépense,fonctionnement,300.14,3
dépense,fonctionnement,332.24,3
dépense,fonctionnement,383.93,3
dépense,fonctionnement,547.35,3
dépense,fonctionnement,442.53,3
dépense,fonctionnement,232.17,3
dépense,fonctionnement,106.84,3
dépense,fonctionnement,546.9,3
dépense,fonctionnement,495.35,3
dépense,fonctionnement,324.29,3
dépense,fonctionnement,157.59,3
dépense,fonctionnement,509.29,3
dépense,fonctionnement,504.19,3
dépense,fonctionnement,69.92,3
dépense,fonctionnement,76.43,3
dépense,fonctionnement,386.66,3
dépense,fonctionnement,78.5,3
dépense,fonctionnement,530.25,3
dépense,fonctionnement,203.01,3
dépense,fonctionnement,508.32,3
dépense,fonctionnement,333.46,3
dépense,fonctionnement,584.82,3
dépense,fonctionnement,241.56,3
dépense,fonctionnement,60.92,3
dépense,fonctionnement,121.82,3
dépense,fonctionnement,50.74,3
dépense,fonctionnement,536.78,3
dépense,fonctionnement,242.53,3
dépense,fonctionnement,581.25,3
dépense,fonctionnement,559.65,3
dépense,fonctionnement,472.75,3
dépense,fonctionnement,583.79,3
dépense,salaires,2383.57,3
dépense,salaires,1818.89,3
dépense,salaires,2131.9,3
dépense,salaires,2122.23,3
dépense,salaires,1978.38,3
dépense,salaires,2396.45,3
dépense,salaires,1953.41,3
dépense,salaires,1907.45,3
dépense,salaires,1650.57,3
dépense,salaires,2396.04,3
dépense,salaires,2077.8,3
dépense,salaires,1985.67,3
dépense,salaires,1758.5,3
dépense,salaires,2203.37,3
dépense,salaires,1790.61,3
dépense,salaires,1704.65,3
dépense,salaires,1500.2,3
dépense,salaires,2369.92,3
dépense,salaires,1916.7,3
dépense,salaires,1953.92,3
recette,billetterie,340.0,3
recette,billetterie,270.0,3
recette,billetterie,190.0,3
recette,billetterie,360.0,3
recette,billetterie,170.0,3
recette,billetterie,70.0,3
recette,billetterie,330.0,3
recette,billetterie,20.0,3
recette,billetterie,70.0,3
recette,billetterie,20.0,3
recette,billetterie,60.0,3
recette,billetterie,30.0,3
recette,billetterie,230.0,3
recette,billetterie,330.0,3
recette,billetterie,80.0,3
recette,billetterie,200.0,3
recette,billetterie,70.0,3
recette,billetterie,170.0,3
recette,billetterie,120.0,3
recette,billetterie,50.0,3
recette,marketing,475.13,3
recette,marketing,710.62,3
recette,marketing,638.38,3
recette,marketing,484.67,3
recette,marketing,175.63,3
recette,marketing,167.62,3
recette,marketing,676.8,3
recette,marketing,242.64,3
recette,marketing,397.95,3
recette,marketing,377.54,3
recette,marketing,433.46,3
recette,marketing,669.82,3
recette,marketing,437.15,3
recette,marketing,210.33,3
recette,marketing,515.77,3
recette,marketing,494.78,3
recette,marketing,448.83,3
recette,marketing,737.74,3
recette,marketing,590.76,3
recette,sponsoring,2100.0,3
recette,sponsoring,1100.0,3
recette,sponsoring,1100.0,3
recette,sponsoring,400.0,3
recette,sponsoring,1700.0,3
recette,sponsoring,900.0,3
recette,sponsoring,2500.0,3
recette,sponsoring,1600.0,3
dépense,autres_charges,269.32,4
dépense,autres_charges,167.11,4
dépense,autres_charges,100.82,4
dépense,autres_charges,332.88,4
dépense,autres_charges,198.71,4
dépense,autres_charges,106.81,4
dépense,autres_charges,282.71,4
dépense,autres_charges,164.63,4
dépense,autres_charges,315.65,4
dépense,autres_charges,171.38,4
dépense,autres_charges,284.47,4
dépense,autres_charges,259.26,4
dépense,autres_charges,100.69,4
dépense,autres_charges,194.35,4
dépense,autres_charges,100.78,4
dépense,autres_charges,331.35,4
dépense,autres_charges,173.52,4
dépense,autres_charges,332.92,4
dépense,autres_charges,215.49,4
dépense,autres_charges,100.75,4
dépense,autres_charges,126.6,4
dépense,autres_charges,158.76,4
dépense,autres_charges,100.7,4
dépense,autres_charges,222.34,4
dépense,autres_charges,103.68,4
dépense,autres_charges,145.2,4
dépense,autres_charges,231.91,4
dépense,autres_charges,100.34,4
dépense,autres_charges,100.44,4
dépense,autres_charges,183.13,4
dépense,autres_charges,288.43,4
dépense,autres_charges,142.49,4
dépense,autres_charges,100.54,4
dépense,autres_charges,151.16,4
dépense,autres_charges,339.53,4
dépense,autres_charges,244.64,4
dépense,autres_charges,164.43,4
dépense,déplacements,457.62,4
dépense,déplacements,849.33,4
dépense,déplacements,1131.5,4
dépense,déplacements,453.31,4
dépense,déplacements,413.03,4
dépense,déplacements,200.4,4
dépense,déplacements,269.69,4
dépense,déplacements,878.48,4
dépense,déplacements,200.82,4
dépense,déplacements,935.99,4
dépense,déplacements,946.37,4
dépense,déplacements,1021.03,4
dépense,déplacements,442.89,4
dépense,déplacements,200.2,4
dépense,déplacements,360.54,4
dépense,déplacements,237.04,4
dépense,déplacements,447.76,4
dépense,déplacements,948.93,4
dépense,déplacements,794.73,4
dépense,déplacements,752.9,4
dépense,déplacements,933.05,4
dépense,déplacements,552.32,4
dépense,fonctionnement,195.26,4
dépense,fonctionnement,11.75,4
dépense,fonctionnement,213.62,4
dépense,fonctionnement,366.96,4
dépense,fonctionnement,146.29,4
dépense,fonctionnement,69.48,4
dépense,fonctionnement,364.28,4
dépense,fonctionnement,158.89,4
dépense,fonctionnement,192.9,4
dépense,fonctionnement,482.7,4
dépense,fonctionnement,580.37,4
dépense,fonctionnement,283.73,4
dépense,fonctionnement,270.58,4
dépense,fonctionnement,589.94,4
dépense,fonctionnement,419.75,4
dépense,fonctionnement,219.67,4
dépense,fonctionnement,368.51,4
dépense,fonctionnement,194.59,4
dépense,fonctionnement,554.69,4
dépense,fonctionnement,504.38,4
dépense,fonctionnement,182.84,4
dépense,fonctionnement,15.47,4
dépense,fonctionnement,386.61,4
dépense,fonctionnement,434.07,4
dépense,fonctionnement,284.07,4
dépense,fonctionnement,320.58,4
dépense,fonctionnement,283.46,4
dépense,fonctionnement,279.09,4
dépense,fonctionnement,290.42,4
dépense,fonctionnement,446.78,4
dépense,fonctionnement,511.45,4
dépense,salaires,2383.57,4
dépense,salaires,1818.89,4
dépense,salaires,2131.9,4
dépense,salaires,2122.23,4
dépense,salaires,1978.38,4
dépense,salaires,2396.45,4
dépense,salaires,1953.41,4
dépense,salaires,1907.45,4
dépense,salaires,1650.57,4
dépense,salaires,2396.04,4
dépense,salaires,2077.8,4
dépense,salaires,1985.67,4
dépense,salaires,1758.5,4
dépense,salaires,2203.37,4
dépense,salaires,1790.61,4
dépense,salaires,1704.65,4
dépense,salaires,1500.2,4
dépense,salaires,2369.92,4
dépense,salaires,1916.7,4
dépense,salaires,1953.92,4
recette,billetterie,170.0,4
recette,billetterie,370.0,4
recette,billetterie,230.0,4
recette,billetterie,240.0,4
recette,billetterie,10.0,4
recette,billetterie,50.0,4
recette,billetterie,120.0,4
recette,billetterie,150.0,4
recette,billetterie,20.0,4
recette,billetterie,300.0,4
recette,billetterie,120.0,4
recette,billetterie,180.0,4
recette,billetterie,140.0,4
recette,billetterie,10.0,4
recette,billetterie,30.0,4
recette,billetterie,230.0,4
recette,billetterie,240.0,4
recette,billetterie,230.0,4
recette,billetterie,10.0,4
recette,billetterie,370.0,4
recette,billetterie,170.0,4
recette,billetterie,90.0,4
recette,billetterie,260.0,4
recette,billetterie,190.0,4
recette,billetterie,100.0,4
recette,billetterie,160.0,4
recette,billetterie,340.0,4
recette,billetterie,140.0,4
recette,billetterie,250.0,4
recette,billetterie,40.0,4
recette,billetterie,240.0,4
recette,billetterie,10.0,4
recette,marketing,439.81,4
recette,marketing,616.71,4
recette,marketing,569.07,4
recette,marketing,485.65,4
recette,marketing,392.0,4
recette,marketing,274.27,4
recette,marketing,254.72,4
recette,marketing,481.36,4
recette,marketing,545.89,4
recette,marketing,135.8,4
recette,marketing,389.44,4
recette,marketing,632.99,4
recette,marketing,166.02,4
recette,marketing,713.48,4
recette,marketing,496.28,4
recette,marketing,517.97,4
recette,marketing,574.25,4
recette,sponsoring,2300.0,4
recette,sponsoring,2000.0,4
recette,sponsoring,2100.0,4
recette,sponsoring,800.0,4
recette,sponsoring,1400.0,4
recette,sponsoring,1300.0,4
recette,sponsoring,2500.0,4
recette,sponsoring,300.0,4
recette,sponsoring,1300.0,4
recette,sponsoring,100.0,4
recette,sponsoring,700.0,4
recette,sponsoring,2300.0,4
recette,sponsoring,2500.0,4
recette,sponsoring,2400.0,4
recette,sponsoring,600.0,4
recette,sponsoring,1800.0,4
recette,sponsoring,1600.0,4
recette,sponsoring,2100.0,4
recette,sponsoring,600.0,4
recette,sponsoring,1500.0,4
dépense,autres_charges,100.16,5
dépense,autres_charges,222.63,5
dépense,autres_charges,100.2,5
dépense,autres_charges,271.52,5
dépense,autres_charges,325.55,5
dépense,autres_charges,200.2,5
dépense,autres_charges,254.37,5
dépense,autres_charges,160.98,5
dépense,autres_charges,329.75,5
dépense,autres_charges,225.44,5
dépense,autres_charges,132.39,5
dépense,autres_charges,100.1,5
dépense,autres_charges,100.99,5
dépense,autres_charges,246.59,5
dépense,autres_charges,271.65,5
dépense,autres_charges,133.93,5
