Altitude_m;Temperature_K;Longitude;Latitude
0;288.15;4.760467;45.602117
200;286.85;4.760467;45.602167
500;284.85;4.761183;45.60125
1100;281.05;4.766717;45.600117
1800;276.55;4.765183;45.60085
2250;273.65;4.766633;45.601017
2680;270.85;4.770567;45.605383
5070;255.45;4.800883;45.602433
6800;244.25;4.819033;45.608467
8900;230.65;4.850517;45.608551
9800;224.85;4.892783;45.601533
11000;217.15;4.963467;45.596267
13500;216.95;5.155833;45.586467
15120;216.65;5.298383;45.591167
17210;216.65;5.444417;45.595083
19500;217.15;5.578417;45.597952
20100;217.05;5.6044;45.605617
21250;220.15;5.662033;45.611053
23620;223.05;5.747867;45.62555
24865;225.15;5.766817;45.616383